Site,Source,Date,Season,Time,Air Temp (C),cfs,cms,temp,pH,orp,spc,O18,D,D_Ex,Na,Mg,K,Ca,F,Cl,NO2,Br,NO3,Phosphate,Sulphate,Alk,BiCarb
Robbers Roost,C aqifer,9/2/2018,Autumn,14:00,20,0.00291584,8.25674E-05,6.8,7.36,,402.1,-12.72709269,-87.0915592,14.72518232,1.298360313,22.28187625,2.168073624,49.25012419,0.080506132,1.190706857,0,0,0.166507049,0.282920515,4.198620981,200,244
Robbers Roost,C aqifer,10/14/2018,Autumn,12:51,12,0.004623296,0.000130917,6.8,7.27,197,393.3,-13.21424459,-91.59371455,14.12024219,1.143212265,22.69604769,2.177572083,49.67355591,0.08268455,0.906034218,0.065021169,0,0.099341002,0.266165807,2.398305794,240,292.8
Robbers Roost,C aqifer,11/9/2018,Winter,12:15,0.7,0.003724259,0.000105459,5.9,7.32,104.9,378.1,-12.22093428,-88.08242623,9.685047973,,,,,,,,,,,,,
Robbers Roost,C aqifer,11/11/2018,Winter,11:18,4,0.007273472,0.000205962,6,7.17,166.4,401.2,-13.2308088,-89.29834844,16.54812198,,,,,,,,,,,,,
Robbers Roost,C aqifer,12/15/2018,Winter,13:46,6.3,0.000161163,4.56364E-06,4.9,6.89,315.6,447.5,-12.64844521,-90.7809191,10.40664259,,,,,,,,,,,,,
Castle,C aqifer,11/12/2017,Winter,13:30,8,0.00389251,0.000110224,,,,,-13.39701534,-96.52719962,10.64892314,2.458023097,22.66640432,0.839015608,40.36594936,0.074202659,2.33006599,0.009571764,0,0.150935923,0.077110887,3.833793499,,
Castle,C aqifer,12/18/2017,Winter,9:00,3,0.00394477,0.000111703,9,7.75,67.5,371.9,-13.479375,-96.90904535,10.92595464,2.515129021,23.65905813,0.903690187,40.7335328,0.068415101,2.288510076,0.020934383,0,0.110678,0.042389752,3.851276762,,
Castle,C aqifer,4/8/2018,Spring,9:00,11,0.003781365,0.000107076,8.4,7.65,,326.1,-13.168492,-96.76305339,8.584882627,2.348258824,22.97777597,0.389369412,43.67793029,0.083974558,2.310039539,0,0,0,0,3.86963415,260,317.2
Castle,C aqifer,5/25/2018,Summer,10:00,18,0.003997878,0.000113207,8.53,6.89,,251,-12.95724331,-97.49907109,6.158875382,2.304031873,22.0829811,0.536939602,44.20743259,0.064684218,2.346289499,0,0,0.062106143,0,3.899572611,220,268.4
Castle,C aqifer,6/25/2018,Summer,18:30,20,0.004254737,0.000120481,9.6,7.72,,398.8,-13.45226176,-96.53517572,11.08291834,2.2864,22.33582564,0.562413571,41.52070445,0.080729264,2.575043837,0.252315999,0,0.029670178,0,4.272582969,242,295.24
